subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
137891,20,0,10.466148884361598,83.4982,15.7005,0.0,71564.3,58492.5,40388.0,594.312,-519.004,100.517,95372046669711.39,13.9794211026284
137892,20,0,10.359366007451632,82.4618,18.5624,0.0389764,71006.4,59337.0,40798.8,768.899,-130.587,568.784,95372046669711.39,13.9794211026284
137893,20,0,10.272934590496497,91.3931,12.0515,0.0261192,71049.7,59117.2,40287.9,-314.825,265.08,-846.643,95372046669711.39,13.9794211026284
137894,20,0,10.516545327238205,105.091,5.2232,0.0,70847.9,59010.8,40542.3,1023.87,-453.447,484.707,95372046669711.39,13.9794211026284
131047,18,1,11.906249603804431,359.607,403.409,0.00526357,65796.3,17979.3,26037.1,421.912,43.2878,188.752,94584763433717.16,13.975821181966204
131048,18,0,11.509848718737294,245.001,40.6944,0.0167205,66003.3,18309.6,25985.6,272.915,-106.925,219.854,94584763433717.16,13.975821181966204
131049,18,0,10.685461406134575,131.946,35.6203,0.0,65878.9,18653.3,25739.9,722.624,-74.5124,-106.523,94584763433717.16,13.975821181966204
131050,18,0,10.692924678964138,105.254,19.3939,0.0215725,65642.7,17654.9,26266.0,981.746,357.161,-565.257,94584763433717.16,13.975821181966204
131051,18,0,10.622684126900817,120.966,22.9811,0.0,65552.0,18070.0,26035.4,105.977,-558.234,684.209,94584763433717.16,13.975821181966204
131052,18,0,10.906037925188683,118.161,11.5891,0.0,65629.1,17808.8,25723.9,439.094,152.37,-177.636,94584763433717.16,13.975821181966204
131053,18,0,10.788615462879719,109.946,18.1521,0.0,66416.6,18324.6,25997.0,369.583,-85.7932,502.707,94584763433717.16,13.975821181966204
131054,18,0,10.528297521691847,94.6542,29.3221,0.0160248,65777.2,17754.1,25525.3,1033.97,419.288,313.599,94584763433717.16,13.975821181966204
131055,18,0,10.483340253515298,105.365,18.6983,0.00956606,65515.5,17583.5,26373.9,895.592,-115.779,457.039,94584763433717.16,13.975821181966204
131056,18,0,10.369723524643083,76.253,30.6768,0.0375352,64950.1,17823.5,25823.6,253.497,-268.615,399.336,94584763433717.16,13.975821181966204
134847,19,1,11.905071328722025,384.456,316.254,0.00547212,1110.28,51910.5,55187.8,49.311,123.08,-180.876,94420647881606.14,13.975066976082962
134848,19,0,11.167223119186334,157.429,12.8266,0.0,1193.14,51872.1,55123.9,249.93,-809.372,173.826,94420647881606.14,13.975066976082962
134849,19,0,10.816655138834125,123.237,30.4126,0.0,481.507,52057.8,55325.7,-649.096,-6.517,-478.255,94420647881606.14,13.975066976082962
134850,19,0,10.956418281800184,157.325,13.8959,0.0,935.666,52050.0,55100.2,-105.925,169.557,-234.954,94420647881606.14,13.975066976082962
134851,19,0,10.735376572258506,108.234,30.2388,0.0105292,864.247,51488.0,54695.7,-122.726,-296.373,-373.186,94420647881606.14,13.975066976082962
134852,19,0,10.833375444886158,124.601,16.3609,0.0144124,1122.67,51775.2,55099.4,-102.763,1455.31,-261.644,94420647881606.14,13.975066976082962
134853,19,0,10.696546232182204,119.549,20.2792,0.0,943.58,52145.6,55351.4,10.3091,356.326,70.2122,94420647881606.14,13.975066976082962
134854,19,0,10.748444399198949,112.045,16.1077,0.0,929.1,51695.9,55440.9,-168.169,-304.569,58.6693,94420647881606.14,13.975066976082962
134855,19,0,10.2465881247913,87.552,35.5393,0.0157952,360.277,52744.5,54651.8,419.887,-156.381,150.607,94420647881606.14,13.975066976082962
134856,19,0,10.80968990702604,130.433,10.7877,0.0,1033.88,51826.6,55267.4,396.541,-949.703,52.3385,94420647881606.14,13.975066976082962
76086,7,1,11.978676141118363,357.409,513.736,0.00512356,36772.0,937.533,70503.4,-220.565,-91.0321,24.5979,89359779234019.78,13.951142087171503
76087,7,0,11.956361574473053,333.948,172.149,0.00653741,38037.6,965.819,70656.0,-677.633,-11.9094,-69.5972,89359779234019.78,13.951142087171503
76088,7,0,11.733917896928872,252.274,204.293,0.0163271,34211.8,1062.63,70324.1,121.18,190.519,-162.859,89359779234019.78,13.951142087171503
76089,7,0,11.615098219667923,240.741,102.845,0.00878823,35845.3,251.11,70512.2,218.055,80.2481,53.8025,89359779234019.78,13.951142087171503
76090,7,0,10.882487396798536,154.859,70.1386,0.00951461,33542.8,936.098,70349.0,322.582,-242.359,546.825,89359779234019.78,13.951142087171503
76091,7,0,10.9325461093085,120.196,58.8159,0.0,33988.2,248.568,70612.9,437.514,-328.235,-189.676,89359779234019.78,13.951142087171503
76092,7,0,10.809818073618331,109.775,61.5892,0.0137285,33097.0,975.526,71000.3,238.879,421.683,-246.127,89359779234019.78,13.951142087171503
76093,7,0,10.798516489031813,131.073,30.354,0.0200837,37089.0,764.536,70309.2,-480.447,-755.279,882.331,89359779234019.78,13.951142087171503
76094,7,0,10.962858604143614,127.396,25.2833,0.0,37329.8,885.773,70682.7,-444.387,392.867,-302.68,89359779234019.78,13.951142087171503
76095,7,0,10.83851074510559,122.292,29.3276,0.0,38445.0,735.94,70986.9,-97.5915,-518.769,-146.109,89359779234019.78,13.951142087171503
108012,12,1,11.774460931484962,405.736,527.894,0.0135595,18199.2,724.18,9034.85,31.3151,90.6842,-106.207,85385599465788.31,13.93138463181431
